,Time,Receiving team,Score,Guest team,Week,Date
148,17:00,Wydad Athletic Club,2 : 0,Maghreb de Fes,Week # 20,Wednesday 26 May 2021
149,19:17,Ittihad Tanger,2 : 0,Renaissance Zemamra,Week # 20,Wednesday 26 May 2021
150,21:34,FAR Rabat,1 : 1,Rapide Oued Zem,Week # 20,Wednesday 26 May 2021
151,21:31,Difaa Hassani El Jadidi,3 : 1,Fath Union Sport de Rabat,Week # 20,Wednesday 26 May 2021
152,19:16,Youssoufia Berrechid,0 : 3,Moghreb Tetouan,Week # 20,Thursday 27 May 2021
153,21:30,Chabab Mohammedia,1 : 2,Raja Club Athletic,Week # 20,Thursday 27 May 2021
154,17:02,Renaissance Zemamra,1 : 0,Difaa Hassani El Jadidi,Week # 21,Saturday 29 May 2021
155,19:16,Maghreb de Fes,1 : 2,Olympique Club de Safi,Week # 21,Saturday 29 May 2021
156,21:30,Rapide Oued Zem,1 : 2,Ittihad Tanger,Week # 21,Saturday 29 May 2021
157,17:04,Mouloudia Oujda,3 : 2,Chabab Mohammedia,Week # 21,Sunday 30 May 2021
158,19:17,Fath Union Sport de Rabat,0 : 0,Wydad Athletic Club,Week # 21,Sunday 30 May 2021
159,21:30,Raja Club Athletic,3 : 2,FAR Rabat,Week # 21,Sunday 30 May 2021
160,21:33,Moghreb Tetouan,2 : 1,Hassania Union Sport Agadir,Week # 21,Sunday 30 May 2021
161,17:00,Rapide Oued Zem,0 : 2,Raja Club Athletic,Week # 17,Thursday 3 June 2021
162,19:15,Renaissance de Berkane,3 : 1,Mouloudia Oujda,Week # 20,Thursday 3 June 2021
163,21:30,Youssoufia Berrechid,0 : 1,Wydad Athletic Club,Week # 16,Thursday 3 June 2021
164,17:03,Wydad Athletic Club,4 : 2,Difaa Hassani El Jadidi,Week # 17,Wednesday 9 June 2021
165,19:16,Renaissance de Berkane,1 : 1,Youssoufia Berrechid,Week # 21,Wednesday 9 June 2021
166,19:15,Hassania Union Sport Agadir,3 : 5,Wydad Athletic Club,Week # 19,Sunday 13 June 2021
167,21:30,Raja Club Athletic,0 : 1,Renaissance de Berkane,Week # 19,Sunday 13 June 2021
168,19:18,Wydad Athletic Club,0 : 0,Renaissance Zemamra,Week # 22,Wednesday 16 June 2021
169,21:31,Ittihad Tanger,0 : 3,Raja Club Athletic,Week # 22,Wednesday 16 June 2021
170,17:01,FAR Rabat,1 : 0,Mouloudia Oujda,Week # 22,Saturday 19 June 2021
171,19:16,Olympique Club de Safi,0 : 0,Moghreb Tetouan,Week # 22,Saturday 19 June 2021
172,21:31,Chabab Mohammedia,2 : 0,Renaissance de Berkane,Week # 22,Saturday 19 June 2021
173,16:59,Difaa Hassani El Jadidi,1 : 1,Rapide Oued Zem,Week # 22,Sunday 20 June 2021
174,19:15,Youssoufia Berrechid,2 : 1,Fath Union Sport de Rabat,Week # 22,Sunday 20 June 2021
175,21:33,Hassania Union Sport Agadir,1 : 1,Maghreb de Fes,Week # 22,Sunday 20 June 2021
176,21:30,Renaissance de Berkane,0 : 2,Wydad Athletic Club,Week # 23,Tuesday 22 June 2021
177,19:17,Raja Club Athletic,2 : 0,Difaa Hassani El Jadidi,Week # 23,Thursday 24 June 2021
178,17:02,Moghreb Tetouan,0 : 0,Maghreb de Fes,Week # 23,Saturday 26 June 2021
179,19:16,Mouloudia Oujda,0 : 0,Ittihad Tanger,Week # 23,Saturday 26 June 2021
180,21:31,Rapide Oued Zem,2 : 0,Youssoufia Berrechid,Week # 23,Saturday 26 June 2021
181,17:01,Renaissance Zemamra,1 : 0,Hassania Union Sport Agadir,Week # 23,Sunday 27 June 2021
182,19:17,Chabab Mohammedia,0 : 2,FAR Rabat,Week # 23,Sunday 27 June 2021
