,Time,Receiving team,Score,Guest team,Week,Date
197,17:04,Raja Club Athletic,2 : 0,Wydad Athletic Club,Week # 25,Thursday 16 June 2022
198,19:17,Renaissance de Berkane,3 : 2,Difaa Hassani El Jadidi,Week # 25,Thursday 16 June 2022
199,21:43,FAR Rabat,2 : 1,Hassania Union Sport Agadir,Week # 25,Thursday 16 June 2022
200,19:14,Youssoufia Berrechid,0 : 0,Olympique Club De Khouribga,Week # 26,Saturday 18 June 2022
201,21:32,Rapide Oued Zem,1 : 0,Ittihad Tanger,Week # 26,Saturday 18 June 2022
202,17:05,Hassania Union Sport Agadir,1 : 2,Maghreb de Fes,Week # 26,Sunday 19 June 2022
203,17:03,Olympique Club de Safi,0 : 0,FAR Rabat,Week # 26,Sunday 19 June 2022
204,19:14,Difaa Hassani El Jadidi,1 : 1,Mouloudia Oujda,Week # 26,Sunday 19 June 2022
205,19:18,Wydad Athletic Club,3 : 0,JSS Jeunesse Sportive Soualem,Week # 26,Sunday 19 June 2022
206,21:30,Fath Union Sport de Rabat,2 : 0,Renaissance de Berkane,Week # 26,Sunday 19 June 2022
207,21:32,Chabab Mohammedia,0 : 0,Raja Club Athletic,Week # 26,Sunday 19 June 2022
208,17:03,JSS Jeunesse Sportive Soualem,2 : 1,Chabab Mohammedia,Week # 27,Wednesday 22 June 2022
209,17:01,Difaa Hassani El Jadidi,0 : 2,Fath Union Sport de Rabat,Week # 27,Wednesday 22 June 2022
210,19:20,Renaissance de Berkane,0 : 1,Wydad Athletic Club,Week # 27,Wednesday 22 June 2022
211,19:17,Raja Club Athletic,2 : 3,Olympique Club de Safi,Week # 27,Wednesday 22 June 2022
212,21:32,Ittihad Tanger,1 : 1,Youssoufia Berrechid,Week # 27,Wednesday 22 June 2022
213,21:32,Olympique Club De Khouribga,2 : 0,Hassania Union Sport Agadir,Week # 27,Wednesday 22 June 2022
214,19:16,Mouloudia Oujda,1 : 1,Rapide Oued Zem,Week # 27,Thursday 23 June 2022
215,21:31,FAR Rabat,0 : 0,Maghreb de Fes,Week # 27,Thursday 23 June 2022
216,17:59,Youssoufia Berrechid,1 : 1,JSS Jeunesse Sportive Soualem,Week # 28,Saturday 25 June 2022
217,18:00,Olympique Club de Safi,3 : 1,Ittihad Tanger,Week # 28,Saturday 25 June 2022
218,20:32,Hassania Union Sport Agadir,2 : 3,Raja Club Athletic,Week # 28,Saturday 25 June 2022
219,20:34,Wydad Athletic Club,2 : 1,Difaa Hassani El Jadidi,Week # 28,Saturday 25 June 2022
220,18:02,Fath Union Sport de Rabat,0 : 0,Mouloudia Oujda,Week # 28,Sunday 26 June 2022
221,18:02,Rapide Oued Zem,3 : 2,Renaissance de Berkane,Week # 28,Sunday 26 June 2022
222,20:33,Maghreb de Fes,2 : 0,Olympique Club De Khouribga,Week # 28,Sunday 26 June 2022
223,20:33,Chabab Mohammedia,0 : 3,FAR Rabat,Week # 28,Sunday 26 June 2022
224,18:03,Difaa Hassani El Jadidi,1 : 0,Youssoufia Berrechid,Week # 29,Wednesday 29 June 2022
225,18:03,Fath Union Sport de Rabat,0 : 2,Rapide Oued Zem,Week # 29,Wednesday 29 June 2022
226,18:01,Ittihad Tanger,1 : 1,Maghreb de Fes,Week # 29,Wednesday 29 June 2022
227,18:01,JSS Jeunesse Sportive Soualem,2 : 3,Hassania Union Sport Agadir,Week # 29,Wednesday 29 June 2022
228,18:04,Mouloudia Oujda,2 : 2,Wydad Athletic Club,Week # 29,Wednesday 29 June 2022
229,18:03,Raja Club Athletic,2 : 1,FAR Rabat,Week # 29,Wednesday 29 June 2022
230,20:33,Olympique Club De Khouribga,1 : 4,Olympique Club de Safi,Week # 29,Wednesday 29 June 2022
231,20:33,Renaissance de Berkane,3 : 1,Chabab Mohammedia,Week # 29,Wednesday 29 June 2022
232,18:03,FAR Rabat,1 : 0,Olympique Club De Khouribga,Week # 30,Saturday 2 July 2022
233,18:02,Maghreb de Fes,0 : 0,Raja Club Athletic,Week # 30,Saturday 2 July 2022
234,18:02,Rapide Oued Zem,0 : 1,Difaa Hassani El Jadidi,Week # 30,Sunday 3 July 2022
235,18:05,Chabab Mohammedia,0 : 3,Mouloudia Oujda,Week # 30,Sunday 3 July 2022
236,17:59,Youssoufia Berrechid,0 : 4,Renaissance de Berkane,Week # 30,Monday 4 July 2022
237,18:04,Olympique Club de Safi,0 : 0,JSS Jeunesse Sportive Soualem,Week # 30,Monday 4 July 2022
238,18:03,Wydad Athletic Club,1 : 2,Fath Union Sport de Rabat,Week # 30,Monday 4 July 2022
239,18:00,Hassania Union Sport Agadir,0 : 0,Ittihad Tanger,Week # 30,Tuesday 5 July 2022
